development,address,longitude,latitude,metro,train,bus_tram,time_to_city_centre
19. Dzielnica / Etap IV,ul. Kolejowa 49,20.980202,52.226219,1000,1000,no,18
Aleja Słowiańska,Al. Słowiańska 25,20.965545,52.275543,500,3000,yes,19
Aleje przy Czereśniowej,Aleje Jerozolimskie 198R-198S,20.928252,52.199298,3000,3000,no,32
Aluzyjna 19,ul. Aluzyjna 19,20.943133,52.346246,3000,3000,yes,47
Apartamenty Bokserska,ul. Bokserska 56,20.994545,52.170751,3000,3000,yes,32
Apartamenty Cosmopolitan,ul. Twarda 4,21.001617,52.235376,500,1000,yes,6
Apartamenty Dolny Mokotów,ul. Sobieskiego 112,21.036260,52.201503,3000,3000,yes,18
Apartamenty Królewskie,ul. Oś Królewska,21.066314,52.164878,3000,3000,yes,34
Apartamenty Łąkowa,ul. Łąkowa 8,20.908919,52.329861,3000,3000,no,53
Apartamenty Modlińska,ul. Modlińska 39,20.986090,52.305001,3000,3000,yes,31
Apartamenty nad Potokiem,ul. Modzelewskiego 24,21.011289,52.171306,3000,3000,yes,22
Apartamenty Niemcewicza 19,ul. Niemcewicza 19,20.982573,52.221151,3000,1000,yes,11
Apartamenty Nowy Marysin,ul. Rezedowa,21.138229,52.237932,3000,1000,yes,22
Apartamenty Nowy Marysin IVa,ul. Rezedowa,21.137450,52.238135,3000,500,yes,22
Apartamenty Ogrodowa,ul. Ogrodowa 31/35,20.988849,52.238649,3000,3000,yes,14
Apartamenty Okopowa 59A,ul. Okopowa 59A,20.978671,52.250503,3000,3000,yes,23
Apartamenty Ostródzka,ul. Ostródzka 133,21.048637,52.319331,3000,3000,yes,36
Apartamenty Oszmiańska 20,ul. Oszmiańska 20,21.043866,52.268144,1000,3000,yes,27
Apartamenty Park Szczęśliwicki,ul. Przy Parku 6,20.954530,52.205868,3000,3000,no,28
Apartamenty Przy Agorze 6,ul. Przy Agorze 6,20.942059,52.294215,3000,3000,yes,28
Apartamenty przy Woronicza,ul. Woronicza,21.013489,52.189314,500,3000,yes,11
Apartamenty Sabbia,Aleja Słowiańska,20.967175,52.276079,500,3000,yes,20
Apartamenty Stylowa,ul. Stylowa,21.145083,52.221302,3000,1000,no,30
Apartamenty Targowa,ul. Targowa 10,21.046825,52.248519,500,500,yes,16
Apartamenty Włodarzewska 70,ul. Włodarzewska 70,20.949284,52.203467,3000,1000,yes,26
Apartamenty Zwoleńska,ul. Zwoleńska 119 i 121,21.161648,52.203684,3000,500,yes,33
Apartamenty/Domy Stare Włochy,ul. Poziomkowa 6,20.929518,52.208096,3000,3000,no,32
AR4 City Residence,ul. Aleja Rzeczypospolitej 4,21.078141,52.155705,3000,3000,yes,37
Aroma Park,ul. Klasyków 10,20.969957,52.332659,3000,3000,yes,41
Art Deco Sadyba,ul. Ojcowska 4E,21.071839,52.180954,3000,3000,yes,34
Aura Garden,ul. Ostródzka,21.039988,52.344037,3000,3000,no,46
Avore,ul. Cieszyńska,21.026281,52.183262,500,3000,no,14
Bartycka Residence III,ul. Bartycka,21.064603,52.212035,3000,3000,yes,26
Barwinicza 8,ul. Barwnicza 8,21.102201,52.249615,3000,500,yes,21
Bemo Park,ul. Oławska 1,20.926699,52.260577,3000,3000,yes,40
Bemowo Line,ul. Szeligowska,20.888666,52.227463,3000,3000,yes,51
Biały Dom,ul. Światowida,20.958105,52.316723,3000,3000,yes,34
Bliżej Gwiazd na Mehoffera,ul. Mehoffera,20.952277,52.328354,3000,3000,yes,46
Bruzdowa 127,ul. Bruzdowa,21.111374,52.173246,3000,3000,yes,49
Bulwary Augustówka,ul. Augustówka,21.080174,52.183785,3000,3000,yes,33
Cascade Residence,ul. Modzelewskiego 63,21.013519,52.189818,500,3000,yes,11
Central Garden,ul. Słomińskiego,20.989080,52.258040,1000,1000,yes,11
Centro Ursus,ul. Posag 7 Panien,20.880310,52.203711,3000,1000,yes,33
Chrzanowskiego,ul. Chrzanowskiego 14,21.075950,52.253075,3000,3000,yes,21
City Lake Apartments,ul. Wał Miedzeszyński 466Z,21.122286,52.204019,3000,3000,no,42
City Link,ul. Skierniewicka 34,20.970484,52.233061,3000,3000,yes,21
City Sfera,ul. Budki Szczęśliwickie,20.935511,52.206401,3000,1000,no,24
Comfort City Ametyst,ul. Dionizosa 7B,20.950718,52.339151,3000,3000,no,46
Dom HYGGE Mokotów,ul. Bobrowiecka 1B,21.046705,52.197059,3000,3000,yes,28
Dom Pod Szóstką,ul. Ficowskiego 6,20.962497,52.256794,3000,1000,yes,30
Dom przy Okrzei,ul. Okrzei,21.031167,52.249077,1000,3000,yes,22
Dzikiej Kaczki,ul. Dzikiej Kaczki,20.944699,52.344094,3000,3000,yes,48
Echa Leśne,ul. Juranda ze Spychowa,21.037619,52.317501,3000,3000,yes,36
Egejska,ul. Egejska,21.055974,52.180554,3000,3000,yes,26
Fabryka PZO,ul. Kamionkowska,21.061120,52.247995,3000,1000,yes,18
Fleminga Residence,ul. Aleksandra Fleminga,20.977533,52.320114,3000,3000,no,40
Fort Rembertów,ul. Strażacka 114,21.152258,52.261204,3000,1000,yes,29
Forum Wola Etap,ul. Jana Kazimierza 46,20.939934,52.223868,3000,3000,yes,34
Forum Wola Etap III,ul. Jana Kazimierza 46,20.939934,52.223868,3000,3000,yes,34
Future Gardens,ul. Warzelnicza 7,21.037575,52.328358,3000,3000,yes,47
Głębocka 72,ul. Głębocka 72,21.066832,52.313348,3000,3000,yes,32
Górnośląska 6,ul. Górnośląska 6,21.037313,52.225521,3000,3000,yes,14
Greenwood II,ul. Verdiego,21.053475,52.342018,3000,3000,yes,49
Greenwood III,ul. Verdiego 1,21.054485,52.342745,3000,3000,yes,49
Grodzieńska 19,ul. Grodzieńska 19,21.049453,52.259370,1000,1000,no,26
Holm House,ul. Zdziechowskiego,21.011034,52.184456,1000,3000,yes,22
Home Factory,ul. Kotsisa 8,21.014603,52.277572,3000,3000,yes,26
Horyzont Praga,ul. Ostrobramska 73F,21.111937,52.230792,3000,3000,yes,33
Jaśminowy Mokotów,ul. Białego Dębu,21.043145,52.184823,3000,3000,no,31
Jeziorowa Park,ul. Jeziorowa,21.127825,52.194211,3000,3000,no,40
Kameralne Osiedle Strzygłowska - etap II,ul. Strzygłowska 52,21.161641,52.173466,3000,3000,yes,59
Kamienica Grochowska,ul. Grochowska 75/77,21.110008,52.240284,3000,3000,yes,26
Kamienica Wilcza 19,ul. Wilcza 19,21.018316,52.225322,1000,3000,yes,7
Kamińskiego róg Myśliborskiej,ul. Światowida,20.950262,52.323836,3000,3000,yes,44
Kolonia Sielce,ul. Sielecka 39a,21.038857,52.205094,3000,3000,yes,20
Konopacka 19,ul. Konopacka 19,21.037980,52.259996,1000,500,yes,21
Koprzywiańska,ul. Koprzywiańska,21.119708,52.239268,3000,3000,yes,26
Koprzywiańska 25,ul. Koprzywiańska 25,21.119071,52.241400,3000,3000,yes,29
Kryształ Powiśla - Solec Residence,ul. Solec 18/20,21.039345,52.232261,3000,1000,yes,12
Larix Garden,ul. Chrzanowska,20.897723,52.217781,3000,3000,yes,42
Lifetown,ul. Kłobucka 6,20.992157,52.157718,3000,3000,yes,31
Magnacka 1,ul. Magnacka,20.858092,52.196192,3000,3000,no,35
Mały Grochów,ul. Siennicka,21.077628,52.253675,3000,3000,yes,23
Marina Mokotów,ul. Żwirki i Wigury,20.984538,52.195423,3000,500,yes,21
Marywilska Osiedle Kameralne,ul. Marywilska 58,21.001058,52.319375,3000,1000,yes,37
Mehoffera,ul. Mehoffera,20.949464,52.326521,3000,3000,yes,44
Metro Park,Al. Słowiańska,20.965534,52.275147,500,3000,yes,19
Metro Połczyńska,ul. Kopalniana,20.889400,52.220010,3000,3000,no,48
Metro Targówek,ul. Ossowskiego 11,21.048447,52.269641,500,3000,yes,19
Metropolitan Park,ul. Wilcza 26,21.124754,52.325805,3000,3000,no,70
Miasteczko Nova Ochota,ul. Łopuszańska,20.942285,52.193003,3000,500,yes,32
Miasteczko Wawer Etap II,ul. Bysławska,21.197994,52.158166,3000,1000,yes,43
Miasto Moje,ul. Marywilska 62,20.999298,52.320396,3000,1000,yes,40
Mickiewicza 3 i 4,ul. Rudzka 9,20.972914,52.278303,1000,3000,yes,22
Mińska 63,ul. Mińska 63,21.064458,52.250406,3000,3000,yes,22
Mińska 69 - Etap II,ul. Mińska 69,21.071577,52.252108,3000,3000,yes,23
Modern City,ul. Szeligowska,20.887312,52.225565,3000,3000,yes,53
Modern Space,ul. Budki Szczęśliwickie,20.935638,52.206628,3000,1000,no,24
Moderna Powiśle,ul. Zajęcza 1A,21.029849,52.239569,500,1000,yes,11
Moduo Gardens,ul. Postępu,20.997294,52.176859,3000,3000,yes,30
Mój Ursus,ul. Posag 7 Panien,20.882225,52.204323,3000,500,yes,28
Mój Ursus etap 2,ul. Posag 7 Panien,20.882225,52.204323,3000,500,yes,28
Mój Ursus etap 3,ul. Posag 7 Panien,20.882225,52.204323,3000,500,yes,28
Mój Ursus etap 3B,ul. Posag 7 Panien,20.882225,52.204323,3000,500,yes,28
Moja Północna,ul. Kościeszów,20.968864,52.317819,3000,3000,no,35
Moje Miejsce,ul. Beethovena / ul. Bobrowiecka,21.047572,52.193961,3000,3000,yes,27
Moko Botanika,ul. Bokserska 54,20.993717,52.170668,3000,1000,yes,32
MOKO Concept Apartments,ul. Jana Pawła Woronicza 33a,20.989259,52.188522,3000,3000,yes,24
MOKOsfera,ul. Konstruktorska 8,20.992347,52.186298,3000,1000,yes,21
Murapol Apartamenty Praskie,ul. Witolińska,21.108216,52.239347,3000,3000,yes,28
Murapol Atrium Służewiec,ul. Cybernetyki 15,20.992288,52.176279,3000,1000,yes,31
Murapol Dzieci Warszawy,ul. Dzieci Warszawy,20.913213,52.189328,3000,3000,yes,34
Murapol Ordona,ul. Ordona,20.955837,52.221705,3000,1000,yes,23
Murapol Osiedle Natura,ul. Kąty Grodziskie 15,21.059064,52.327805,3000,3000,yes,42
Myśliborska 1,ul. Myśliborska 1,20.979971,52.299828,3000,3000,yes,38
Na Mokotowie,ul. Wyjazd,20.987476,52.191376,3000,1000,no,29
Na Wiązanej,ul. Wiązana 34,21.145644,52.203870,3000,3000,no,53
Na Woli,ul. Sowińskiego,20.933355,52.229093,3000,3000,no,34
Natolin Park,"ul. Kazimierza Sotta ""Sokoła""",21.066626,52.144607,1000,3000,yes,32
Naukowa 16,ul. Naukowa 16,20.932820,52.204599,3000,3000,no,30
Naukowa ABC,ul. Naukowa 15,20.932114,52.204615,3000,3000,no,31
Next Ursus,ul. Posag 7 Panien 16,20.878312,52.205212,3000,1000,yes,45
Nocznickiego 29,ul. Nocznickiego 29,20.924891,52.285026,1000,3000,yes,28
Nordic Mokotów etap III,ul. Pory 53,21.043738,52.183503,3000,3000,yes,28
Nordic Sadyba,ul. Nałęczowska 33,21.065897,52.176082,3000,3000,yes,30
Nova Bluszczańska,ul. Bluszczańska,21.070298,52.211325,3000,3000,yes,29
Nova Chodzieska,ul. Chodzieska,21.137162,52.189657,3000,3000,no,48
Nova Dolna,ul. Piaseczyńska 51,21.032493,52.200159,3000,3000,yes,23
Nova Królikarnia,ul. Jaśminowa,21.038270,52.183451,3000,3000,no,34
NOVA PRAGA - OSIECKA,ul. Osiecka,21.106182,52.240889,3000,3000,yes,25
Nowa Grochowska,ul. Grochowska,21.122676,52.235227,3000,3000,yes,31
Nowa Mangalia,ul. Mangalia 1,21.046929,52.186042,3000,3000,yes,28
Nowe międzylesie,ul. Kożuchowska 11-13,21.172817,52.204740,3000,500,yes,32
OAK Lane,ul. Kielecka 18,21.006409,52.203417,1000,3000,yes,12
Ogrody Przyjaciół 4,ul. Cieślewskich,21.016193,52.331749,3000,3000,no,57
Ogrody Wilanów,ul. Zdrowa,21.064458,52.168396,3000,3000,no,33
Ogrody Wiślane,ul. Aluzyjna,20.943418,52.343136,3000,3000,yes,48
Omulewska,ul. Omulewska 26,21.097255,52.242036,3000,3000,yes,24
Osada Sarabandy etap I,ul. Sarabandy 93,21.005115,52.120642,3000,3000,yes,42
Osiedle Classic,ul. Modlińska,20.980404,52.309264,3000,3000,yes,32
Osiedle Coopera,ul. Gen. M. Coopera,20.892421,52.237300,3000,3000,yes,45
Osiedle Cybernetyki 17,ul. Cybernetyki 17,20.990908,52.176369,3000,3000,yes,31
Osiedle Hemara,ul. Mariana Hemara,21.042909,52.326342,3000,3000,yes,43
Osiedle Kolorowe 3,ul. Przepiórki,20.985921,52.096816,3000,3000,no,75
Osiedle Metropolia,ul. Wesoła 85,21.127055,52.325965,3000,3000,no,72
Osiedle na Bliskiej Woli,ul. Ordona/al. Prymasa Tysiąclecia,20.956030,52.226003,3000,500,yes,20
Osiedle Natura - Etap 2,ul. Gogolińska,20.992667,52.101538,3000,3000,no,67
Osiedle Nowe Włochy,ul. Chrościckiego,20.894224,52.208608,3000,1000,yes,25
Osiedle Orlik,ul. Rogalskiego,21.082267,52.227314,3000,3000,yes,23
Osiedle ORSO,ul. Piastowska,20.872073,52.188895,3000,1000,yes,29
Osiedle Pod Dębami,ul. Płochocińska 16C,20.989543,52.309383,3000,1000,yes,31
Osiedle Premium,ul. gen. T. Pełczyńskiego 14,20.908482,52.243435,3000,3000,yes,42
Osiedle przy Arkadii,ul. Kłopot 4,20.978799,52.257008,3000,3000,no,25
Osiedle Reset,ul. Taśmowa,20.990917,52.179746,3000,500,yes,27
Osiedle Stoczniowców IV,ul. Poprawna,21.110643,52.221745,3000,3000,yes,35
Osiedle Trakt Lubelski- etap I,ul. Trakt Lubelski 183,21.133611,52.200188,3000,3000,yes,42
Osiedle Warszawa,al. Jerozolimskie,20.919442,52.192078,3000,3000,no,38
Osiedle Warszawa etap III,al. Jerozolimskie,20.919442,52.192078,3000,3000,no,38
Osiedle Yugo,ul. Jugosłowiańska,21.096210,52.220939,3000,3000,yes,32
Osiedle Żółwia,ul. Żółwia,20.921954,52.271640,3000,3000,yes,38
Osiedle Życzliwa Praga - etap I,ul. Modlińska 119,20.975689,52.313661,3000,3000,yes,33
Osiedle Życzliwa Praga - etap II,ul. Modlińska,20.975689,52.313661,3000,3000,yes,33
Osiedlowa 43,ul. Ogrodowa 43,21.047150,52.108714,3000,3000,no,68
Ostoja Wawer,ul. Wojtyszki 18,21.148181,52.183605,3000,3000,yes,53
Ostródzka Park,ul. Ostródzka 168,21.049398,52.325042,3000,3000,yes,38
Park Leśny Rembertów,ul. Chełmżyńska,21.120169,52.275041,3000,3000,yes,53
Park Leśny Rembertów Etap II,ul. Chełmżyńska,21.119670,52.273170,3000,3000,yes,50
Park Skandynawia,ul. Jana Nowaka-Jeziorańskiego 8,21.108404,52.231942,3000,3000,yes,28
Parkur Residence,ul. Kłobucka 25,20.994803,52.169365,3000,1000,yes,29
Polana Wawer,ul. Celulozy,21.177565,52.168028,3000,3000,no,60
Poloneza,ul. Poloneza,21.005895,52.147048,3000,3000,no,35
Port Żerań,ul. Kowalczyka 12,20.993970,52.302066,3000,3000,yes,37
Praga Arte,ul. Żupnicza,21.072693,52.254207,3000,3000,yes,23
Praska Moderna,ul. Targowa,21.041696,52.249519,500,500,yes,16
Prochowa 42,ul. Prochowa 42,21.081491,52.248462,3000,3000,yes,26
Przy Arsenale,al. Solidarności 60B,21.005424,52.246286,500,3000,yes,8
Przy Doryckiej,ul. Dorycka,20.941567,52.295782,3000,3000,yes,30
Przystanek Tarchomin,ul. Winorośli 7,20.950976,52.339219,3000,3000,no,45
Puławska/Merliniego,ul. Puławska 107C,21.025209,52.194417,1000,3000,yes,21
Pustelnicka,ul. Pustelnicka,21.105911,52.240519,3000,3000,yes,25
Radość Residence,ul. Planetowa 33,21.192850,52.188679,3000,1000,no,40
Rezydencja Barska,ul. Białobrzeska 53A,20.977444,52.219273,3000,1000,yes,18
Rezydencja Dolina Mokotów,ul. Bergamotki,21.041370,52.178744,3000,3000,yes,27
Rezydencja Łazienki Park,ul. 29 Listopada,21.042835,52.215111,3000,3000,yes,21
Rezydencja pod Świerkami,ul. Fabryczna 6A,21.229960,52.220354,3000,3000,yes,48
Rezydencja Potocka,ul. Barszczewska,20.985480,52.278549,3000,3000,yes,24
Riviera Park,ul. Krzyżówki,20.994187,52.309783,3000,1000,yes,34
Roentgena,ul. Roentgena,21.025761,52.145773,3000,3000,yes,25
Rokokowa Residence,ul. Rokokowa,20.915553,52.285338,3000,3000,yes,34
Royal Tulip Warsaw Apartments,ul. Grzybowska 51,20.989781,52.233847,1000,3000,yes,16
Ruczaj Park,ul. Ruczaj 117a,21.107510,52.155455,3000,3000,no,54
Sava Mińska 25,ul. Mińska 25,21.059636,52.248820,3000,1000,yes,20
Skaryszewska 11,ul. Skaryszewska 11,21.048620,52.249336,500,500,yes,18
Słoneczna Leśniczówka,ul. Leśniczówka 13,21.137644,52.226807,3000,3000,yes,34
Sobolewska 20,ul. Sobolewska 20,21.063887,52.190181,3000,3000,yes,37
Soft Lofty Nad Potokiem etap 3,ul. Osiedlowa 47b-z,21.037437,52.106141,3000,3000,no,67
Soho 18,ul. Żupnicza,21.064024,52.251302,3000,3000,no,19
Sokratesa 17b,ul. Sokratesa 17b,20.931073,52.288318,500,3000,yes,26
sPlace Park,ul. Rydygiera 12,20.972922,52.259867,3000,500,yes,26
Stacja Targówek,ul. Witebska 4,21.046070,52.268184,500,3000,no,23
Stacja Wola,ul. Ordona,20.956600,52.221215,3000,1000,no,23
Stalowa 27,ul. Stalowa 27,21.039942,52.259932,1000,1000,yes,22
Staybridge Suites,ul. Puławska 333,21.018384,52.153784,3000,3000,yes,19
Strefa Bielany,ul. Kaliszówka,20.931372,52.288200,500,3000,yes,26
Szaserów 23,ul. Szaserów 23,21.116630,52.244082,3000,1000,yes,33
Szwedzka 4,ul. Szwedzka 4,21.046437,52.261238,500,1000,yes,18
Topiel,ul. Topiel 18,21.024533,52.239361,1000,1000,yes,16
Towarowa Towers,ul. Towarowa,20.983195,52.228971,500,3000,yes,14
Tulip Wilanów,ul. Syta 92,21.112232,52.164381,3000,3000,yes,46
ul. Poronińska 8,ul. Poronińska 8,20.933464,52.210560,3000,3000,no,34
Urocza Zielona,ul. Dzielna 18,21.196988,52.241330,3000,3000,no,40
Ursa Home,ul. Dyrekcyjna,20.889207,52.199421,3000,500,yes,29
Ursus Centralny,ul. Gierdziejewskiego,20.877270,52.201477,3000,1000,yes,34
Ursus City Residence,ul. Henryka Brodatego 10-14a,20.857465,52.202651,3000,3000,yes,34
Ursus Factory,ul. Posag 7 Panien,20.886324,52.199232,3000,500,yes,25
Ustronie 63,ul. Ustronie 63,21.088235,52.330654,3000,3000,yes,66
Ustronie Mokotów,ul. Rodzynkowa 4,21.071511,52.213576,3000,3000,yes,31
Villa Aliano,ul. Bolesławicka 5,21.031539,52.283502,3000,3000,yes,29
Villa Merkury II,ul. Narwik 24A,20.895184,52.242688,3000,3000,yes,48
Villa Piano II,ul. Bruzdowa 100,21.117983,52.172017,3000,3000,no,55
Villa Prestige - Apartamenty,ul. Stryjeńskich 15,21.052183,52.133123,3000,3000,yes,28
Vis A Vis Wola - etap II,ul. Ordona,20.956421,52.224903,3000,1000,yes,22
Vitalité,ul. Syta,21.099046,52.179459,3000,3000,yes,42
Viva Garden,ul. Białołęcka 253,21.026998,52.312335,3000,3000,yes,47
W Apartments,ul. Siedmiogrodzka 3,20.974849,52.231572,1000,3000,yes,20
W52,ul. Wołoska 52A,21.002333,52.193603,3000,3000,yes,18
Warszawski Świt,ul. Poborzańska,21.019886,52.287138,3000,1000,yes,35
Widoki Mokotów,ul. Puławska,21.025299,52.200753,1000,3000,yes,20
Wiktoria,ul. Herbu Janina,21.076359,52.154344,3000,3000,no,39
Wilania,ul. Herbu Janina,21.075629,52.154107,3000,3000,no,40
Wileńska Express,ul. Wileńska,21.042900,52.258875,1000,500,yes,23
Willa Banacha,ul. Przemyska 9,20.974964,52.212695,3000,3000,yes,22
WILLA Kępa Potocka,ul. Gwiaździsta 69D,20.976315,52.287691,3000,3000,yes,26
Willa Odolany,ul. Boguszewska,20.938215,52.221471,3000,3000,yes,35
Wille Wilanów,ul. Bruzdowa,21.120224,52.164614,3000,3000,no,50
Wilno,ul. Wierna 24,21.083078,52.275398,3000,500,yes,30
Wioletta,ul. Herbu Janina,21.076198,52.153962,3000,3000,no,40
Wiślany Mokotów etap V,ul. Ananasowa,21.066154,52.206833,3000,3000,yes,27
Wiślany Park,ul. Ogórkowa,21.161510,52.162878,3000,3000,yes,47
Wodociągowa Etap III,ul. Wodociągowa,21.256942,52.239237,3000,3000,yes,48
Wola Gabriela,ul. Jana Kazimierza 62A,20.933405,52.222204,3000,3000,yes,33
Wola Nowa,ul. Wolska 171/175,20.939547,52.224977,3000,3000,yes,28
Wola Skwer,ul. Obozowa,20.963426,52.246666,3000,1000,yes,26
Wólczyńskaah! II etap,ul. Wólczyńska 69,20.920153,52.281414,3000,3000,yes,29
Yana,ul. Jana Kazimierza 35/37,20.939352,52.222388,3000,3000,yes,36
Zakątek Ursynów,ul. Trombity 31,21.000362,52.115727,3000,3000,no,54
Zen Garden Mokotów,ul. Santocka,21.077037,52.184975,3000,3000,no,44
Zięby III,ul. Zięby 40A,21.027092,52.150162,1000,3000,yes,25
Zielone Bemowo - etap II,ul. Lazurowa,20.895943,52.234680,3000,3000,yes,41
Zielone Osiedle,ul. Sprawna,20.933155,52.341507,3000,3000,no,48
Zielone Tarasy Wesoła - Etap II,ul. Śliska,21.200682,52.251999,3000,3000,no,38
Zielone Zamienie IV,ul. Waniliowa,20.967913,52.112030,3000,3000,no,78
Zielony Wilanów,ul. Zaściankowa,21.115597,52.168528,3000,3000,no,51
Ziemowita 4a,ul. Księcia Ziemowita 4,21.061233,52.262664,3000,3000,yes,28
Złota 44,ul. Złota 44,21.002372,52.231042,500,500,yes,6
Żoliborz Artystyczny,pl. Czesława Niemena 1,20.969677,52.258579,3000,500,yes,29
Żoliborz Business Concept,ul. Powązkowska/Krasińskiego,20.961935,52.259692,3000,1000,yes,25
Zwoleńska 90,ul. Zwoleńska 90,21.151935,52.201150,3000,3000,yes,45